# ARM64 retained root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkVerifyParseUncompressedCold-16    	   22749	     52988 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22558	     52982 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22771	     52753 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22785	     52709 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22656	     52981 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22719	     52798 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22808	     52701 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22640	     52760 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22734	     52760 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseUncompressedCold-16    	   22816	     52676 ns/op	    9472 B/op	       1 allocs/op
PASS
ok  	github.com/islishude/secp256k1	36.620s

# ARM64 field microbenchmarks

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1/internal/field
cpu: Apple M3 Max
BenchmarkFieldMul-16        	100000000	        10.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMul-16        	100000000	        10.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	414438043	         2.882 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	415960039	         2.878 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	416642013	         2.883 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	416376914	         2.883 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	417128209	         2.879 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	416610430	         2.877 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	416793054	         2.884 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	417052887	         2.878 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	415741292	         2.887 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldMulByB3-16    	416907750	         2.889 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	163144686	         7.355 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	163262889	         7.347 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	160817659	         7.495 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	161981992	         7.474 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	159693884	         7.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	164717076	         7.258 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	166609712	         7.209 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	166360497	         7.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	166519862	         7.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquare-16     	166495555	         7.210 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1786220	       671.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1787965	       671.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1788792	       670.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1789376	       684.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1783305	       673.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1784798	       672.3 ns/op	       0 B/op	       0 allocs/op
